from_patch,to_patch,length_km
p4,p31,33.333
p4,p32,35.136
p4,p33,40.062
p4,p34,47.140
p4,p35,55.556
p4,p36,64.788
p4,p37,55.556
p4,p38,49.690
p4,p39,45.812
p4,p40,44.444
p4,p41,45.812
p4,p42,49.690
p4,p43,55.556
p4,p44,62.854
p4,p45,71.146
p4,p46,64.788
p4,p47,59.835
p4,p48,56.656
p4,p49,55.556
p4,p50,56.656
p4,p51,59.835
p4,p52,64.788
p4,p53,71.146
p4,p54,78.567
p4,p55,74.536
p4,p56,70.273
p4,p57,67.586
p4,p58,66.667
p4,p59,67.586
p4,p60,70.273
p4,p61,74.536
p4,p62,80.123
p4,p63,86.781
p4,p64,84.620
p4,p65,80.890
p4,p66,78.567
p4,p67,77.778
p4,p68,78.567
p4,p69,80.890
p4,p70,84.620
p4,p71,89.581
p4,p72,95.581
p4,p73,94.933
p4,p74,91.625
p4,p75,89.581
p4,p76,88.889
p4,p77,89.581
p4,p78,91.625
p4,p79,94.933
p4,p80,99.381
p5,p6,11.111
p5,p7,22.222
p5,p8,33.333
p5,p9,44.444
p5,p10,45.812
p5,p11,35.136
p5,p12,24.845
p5,p13,15.713
p5,p14,11.111
p5,p15,15.713
p5,p16,24.845
p5,p17,35.136
p5,p18,45.812
p5,p19,49.690
p5,p20,40.062
p5,p21,31.427
p5,p22,24.845
p5,p23,22.222
p5,p24,24.845
p5,p25,31.427
p5,p26,40.062
p5,p27,49.690
p5,p28,55.556
p5,p29,47.140
p5,p30,40.062
p5,p31,35.136
p5,p32,33.333
p5,p33,35.136
p5,p34,40.062
p5,p35,47.140
p5,p36,55.556
p5,p37,62.854
p5,p38,55.556
p5,p39,49.690
p5,p40,45.812
p5,p41,44.444
p5,p42,45.812
p5,p43,49.690
p5,p44,55.556
p5,p45,62.854
p5,p46,71.146
p5,p47,64.788
p5,p48,59.835
p5,p49,56.656
p5,p50,55.556
p5,p51,56.656
p5,p52,59.835
p5,p53,64.788
p5,p54,71.146
p5,p55,80.123
p5,p56,74.536
p5,p57,70.273
p5,p58,67.586
p5,p59,66.667
p5,p60,67.586
p5,p61,70.273
p5,p62,74.536
p5,p63,80.123
p5,p64,89.581
p5,p65,84.620
p5,p66,80.890
p5,p67,78.567
p5,p68,77.778
p5,p69,78.567
p5,p70,80.890
p5,p71,84.620
p5,p72,89.581
p5,p73,99.381
p5,p74,94.933
p5,p75,91.625
p5,p76,89.581
p5,p77,88.889
p5,p78,89.581
p5,p79,91.625
p5,p80,94.933
p6,p7,11.111
p6,p8,22.222
p6,p9,33.333
p6,p10,56.656
p6,p11,45.812
p6,p12,35.136
p6,p13,24.845
p6,p14,15.713
p6,p15,11.111
p6,p16,15.713
p6,p17,24.845
p6,p18,35.136
p6,p19,59.835
p6,p20,49.690
p6,p21,40.062
p6,p22,31.427
p6,p23,24.845
p6,p24,22.222
p6,p25,24.845
p6,p26,31.427
p6,p27,40.062
p6,p28,64.788
p6,p29,55.556
p6,p30,47.140
p6,p31,40.062
p6,p32,35.136
p6,p33,33.333
p6,p34,35.136
p6,p35,40.062
p6,p36,47.140
p6,p37,71.146
p6,p38,62.854
p6,p39,55.556
p6,p40,49.690
p6,p41,45.812
p6,p42,44.444
p6,p43,45.812
p6,p44,49.690
p6,p45,55.556
p6,p46,78.567
p6,p47,71.146
p6,p48,64.788
p6,p49,59.835
p6,p50,56.656
p6,p51,55.556
p6,p52,56.656
p6,p53,59.835
p6,p54,64.788
p6,p55,86.781
p6,p56,80.123
p6,p57,74.536
p6,p58,70.273
p6,p59,67.586
p6,p60,66.667
p6,p61,67.586
p6,p62,70.273
p6,p63,74.536
p6,p64,95.581
p6,p65,89.581
p6,p66,84.620
p6,p67,80.890
p6,p68,78.567
p6,p69,77.778
p6,p70,78.567
p6,p71,80.890
p6,p72,84.620
p6,p73,104.822
p6,p74,99.381
p6,p75,94.933
p6,p76,91.625
p6,p77,89.581
p6,p78,88.889
p6,p79,89.581
p6,p80,91.625
p7,p8,11.111
p7,p9,22.222
p7,p10,67.586
p7,p11,56.656
p7,p12,45.812
p7,p13,35.136
p7,p14,24.845
p7,p15,15.713
p7,p16,11.111
p7,p17,15.713
p7,p18,24.845
p7,p19,70.273
p7,p20,59.835
p7,p21,49.690
p7,p22,40.062
p7,p23,31.427
p7,p24,24.845
p7,p25,22.222
p7,p26,24.845
p7,p27,31.427
p7,p28,74.536
p7,p29,64.788
p7,p30,55.556
p7,p31,47.140
p7,p32,40.062
p7,p33,35.136
p7,p34,33.333
p7,p35,35.136
p7,p36,40.062
p7,p37,80.123
p7,p38,71.146
p7,p39,62.854
p7,p40,55.556
p7,p41,49.690
p7,p42,45.812
p7,p43,44.444
p7,p44,45.812
p7,p45,49.690
p7,p46,86.781
p7,p47,78.567
p7,p48,71.146
p7,p49,64.788
p7,p50,59.835
p7,p51,56.656
p7,p52,55.556
p7,p53,56.656
p7,p54,59.835
p7,p55,94.281
p7,p56,86.781
p7,p57,80.123
p7,p58,74.536
p7,p59,70.273
p7,p60,67.586
p7,p61,66.667
p7,p62,67.586
p7,p63,70.273
p7,p64,102.439
p7,p65,95.581
p7,p66,89.581
p7,p67,84.620
p7,p68,80.890
p7,p69,78.567
p7,p70,77.778
p7,p71,78.567
p7,p72,80.890
p7,p73,111.111
p7,p74,104.822
p7,p75,99.381
p7,p76,94.933
p7,p77,91.625
p7,p78,89.581
p7,p79,88.889
p7,p80,89.581
p8,p9,11.111
p8,p10,78.567
p8,p11,67.586
p8,p12,56.656
p8,p13,45.812
p8,p14,35.136
p8,p15,24.845
p8,p16,15.713
p8,p17,11.111
p8,p18,15.713
p8,p19,80.890
p8,p20,70.273
p8,p21,59.835
p8,p22,49.690
p8,p23,40.062
p8,p24,31.427
p8,p25,24.845
p8,p26,22.222
p8,p27,24.845
p8,p28,84.620
p8,p29,74.536
p8,p30,64.788
p8,p31,55.556
p8,p32,47.140
p8,p33,40.062
p8,p34,35.136
p8,p35,33.333
p8,p36,35.136
p8,p37,89.581
p8,p38,80.123
p8,p39,71.146
p8,p40,62.854
p8,p41,55.556
p8,p42,49.690
p8,p43,45.812
p8,p44,44.444
p8,p45,45.812
p8,p46,95.581
p8,p47,86.781
p8,p48,78.567
p8,p49,71.146
p8,p50,64.788
p8,p51,59.835
p8,p52,56.656
p8,p53,55.556
p8,p54,56.656
p8,p55,102.439
p8,p56,94.281
p8,p57,86.781
p8,p58,80.123
p8,p59,74.536
p8,p60,70.273
p8,p61,67.586
p8,p62,66.667
p8,p63,67.586
p8,p64,109.994
p8,p65,102.439
p8,p66,95.581
p8,p67,89.581
p8,p68,84.620
p8,p69,80.890
p8,p70,78.567
p8,p71,77.778
p8,p72,78.567
p8,p73,118.113
p8,p74,111.111
p8,p75,104.822
p8,p76,99.381
p8,p77,94.933
p8,p78,91.625
p8,p79,89.581
p8,p80,88.889
p9,p10,89.581
p9,p11,78.567
p9,p12,67.586
p9,p13,56.656
p9,p14,45.812
p9,p15,35.136
p9,p16,24.845
p9,p17,15.713
p9,p18,11.111
p9,p19,91.625
p9,p20,80.890
p9,p21,70.273
p9,p22,59.835
p9,p23,49.690
p9,p24,40.062
p9,p25,31.427
p9,p26,24.845
p9,p27,22.222
p9,p28,94.933
p9,p29,84.620
p9,p30,74.536
p9,p31,64.788
p9,p32,55.556
p9,p33,47.140
p9,p34,40.062
p9,p35,35.136
p9,p36,33.333
p9,p37,99.381
p9,p38,89.581
p9,p39,80.123
p9,p40,71.146
p9,p41,62.854
p9,p42,55.556
p9,p43,49.690
p9,p44,45.812
p9,p45,44.444
p9,p46,104.822
p9,p47,95.581
p9,p48,86.781
p9,p49,78.567
p9,p50,71.146
p9,p51,64.788
p9,p52,59.835
p9,p53,56.656
p9,p54,55.556
p9,p55,111.111
p9,p56,102.439
p9,p57,94.281
p9,p58,86.781
p9,p59,80.123
p9,p60,74.536
p9,p61,70.273
p9,p62,67.586
p9,p63,66.667
p9,p64,118.113
p9,p65,109.994
p9,p66,102.439
p9,p67,95.581
p9,p68,89.581
p9,p69,84.620
p9,p70,80.890
p9,p71,78.567
p9,p72,77.778
p9,p73,125.708
p9,p74,118.113
p9,p75,111.111
p9,p76,104.822
p9,p77,99.381
p9,p78,94.933
p9,p79,91.625
p9,p80,89.581
p10,p11,11.111
p10,p12,22.222
p10,p13,33.333
p10,p14,44.444
p10,p15,55.556
p10,p16,66.667
p10,p17,77.778
p10,p18,88.889
p10,p19,11.111
p10,p20,15.713
p10,p21,24.845
p10,p22,35.136
p10,p23,45.812
p10,p24,56.656
p10,p25,67.586
p10,p26,78.567
p10,p27,89.581
p10,p28,22.222
p10,p29,24.845
p10,p30,31.427
p10,p31,40.062
p10,p32,49.690
p10,p33,59.835
p10,p34,70.273
p10,p35,80.890
p10,p36,91.625
p10,p37,33.333
p10,p38,35.136
p10,p39,40.062
p10,p40,47.140
p10,p41,55.556
p10,p42,64.788
p10,p43,74.536
p10,p44,84.620
p10,p45,94.933
p10,p46,44.444
p10,p47,45.812
p10,p48,49.690
p10,p49,55.556
p10,p50,62.854
p10,p51,71.146
p10,p52,80.123
p10,p53,89.581
p10,p54,99.381
p10,p55,55.556
p10,p56,56.656
p10,p57,59.835
p10,p58,64.788
p10,p59,71.146
p10,p60,78.567
p10,p61,86.781
p10,p62,95.581
p10,p63,104.822
p10,p64,66.667
p10,p65,67.586
p10,p66,70.273
p10,p67,74.536
p10,p68,80.123
p10,p69,86.781
p10,p70,94.281
p10,p71,102.439
p10,p72,111.111
p10,p73,77.778
p10,p74,78.567
p10,p75,80.890
p10,p76,84.620
p10,p77,89.581
p10,p78,95.581
p10,p79,102.439
p10,p80,109.994
p11,p12,11.111
p11,p13,22.222
p11,p14,33.333
p11,p15,44.444
p11,p16,55.556
p11,p17,66.667
p11,p18,77.778
p11,p19,15.713
p11,p20,11.111
p11,p21,15.713
p11,p22,24.845
p11,p23,35.136
p11,p24,45.812
p11,p25,56.656
p11,p26,67.586
p11,p27,78.567
p11,p28,24.845
p11,p29,22.222
p11,p30,24.845
p11,p31,31.427
p11,p32,40.062
p11,p33,49.690
p11,p34,59.835
p11,p35,70.273
p11,p36,80.890
p11,p37,35.136
p11,p38,33.333
p11,p39,35.136
p11,p40,40.062
p11,p41,47.140
p11,p42,55.556
p11,p43,64.788
p11,p44,74.536
p11,p45,84.620
p11,p46,45.812
p11,p47,44.444
p11,p48,45.812
p11,p49,49.690
p11,p50,55.556
p11,p51,62.854
p11,p52,71.146
p11,p53,80.123
p11,p54,89.581
p11,p55,56.656
p11,p56,55.556
p11,p57,56.656
p11,p58,59.835
p11,p59,64.788
p11,p60,71.146
p11,p61,78.567
p11,p62,86.781
p11,p63,95.581
p11,p64,67.586
p11,p65,66.667
p11,p66,67.586
p11,p67,70.273
p11,p68,74.536
p11,p69,80.123
p11,p70,86.781
p11,p71,94.281
p11,p72,102.439
p11,p73,78.567
p11,p74,77.778
p11,p75,78.567
p11,p76,80.890
p11,p77,84.620
p11,p78,89.581
p11,p79,95.581
p11,p80,102.439
p12,p13,11.111
p12,p14,22.222
p12,p15,33.333
p12,p16,44.444
p12,p17,55.556
p12,p18,66.667
p12,p19,24.845
p12,p20,15.713
p12,p21,11.111
p12,p22,15.713
p12,p23,24.845
p12,p24,35.136
p12,p25,45.812
p12,p26,56.656
p12,p27,67.586
p12,p28,31.427
p12,p29,24.845
p12,p30,22.222
p12,p31,24.845
p12,p32,31.427
p12,p33,40.062
p12,p34,49.690
p12,p35,59.835
p12,p36,70.273
p12,p37,40.062
p12,p38,35.136
p12,p39,33.333
p12,p40,35.136
p12,p41,40.062
p12,p42,47.140
p12,p43,55.556
p12,p44,64.788
p12,p45,74.536
p12,p46,49.690
p12,p47,45.812
p12,p48,44.444
p12,p49,45.812
p12,p50,49.690
p12,p51,55.556
p12,p52,62.854
p12,p53,71.146
p12,p54,80.123
p12,p55,59.835
p12,p56,56.656
p12,p57,55.556
p12,p58,56.656
p12,p59,59.835
p12,p60,64.788
p12,p61,71.146
p12,p62,78.567
p12,p63,86.781
p12,p64,70.273
p12,p65,67.586
p12,p66,66.667
p12,p67,67.586
p12,p68,70.273
p12,p69,74.536
p12,p70,80.123
p12,p71,86.781
p12,p72,94.281
p12,p73,80.890
p12,p74,78.567
p12,p75,77.778
p12,p76,78.567
p12,p77,80.890
p12,p78,84.620
p12,p79,89.581
p12,p80,95.581
p13,p14,11.111
p13,p15,22.222
p13,p16,33.333
p13,p17,44.444
p13,p18,55.556
p13,p19,35.136
p13,p20,24.845
p13,p21,15.713
p13,p22,11.111
p13,p23,15.713
p13,p24,24.845
p13,p25,35.136
p13,p26,45.812
p13,p27,56.656
p13,p28,40.062
p13,p29,31.427
p13,p30,24.845
p13,p31,22.222
p13,p32,24.845
p13,p33,31.427
p13,p34,40.062
p13,p35,49.690
p13,p36,59.835
p13,p37,47.140
p13,p38,40.062
p13,p39,35.136
p13,p40,33.333
p13,p41,35.136
p13,p42,40.062
p13,p43,47.140
p13,p44,55.556
p13,p45,64.788
p13,p46,55.556
p13,p47,49.690
p13,p48,45.812
p13,p49,44.444
p13,p50,45.812
p13,p51,49.690
p13,p52,55.556
p13,p53,62.854
p13,p54,71.146
p13,p55,64.788
p13,p56,59.835
p13,p57,56.656
p13,p58,55.556
p13,p59,56.656
p13,p60,59.835
p13,p61,64.788
p13,p62,71.146
p13,p63,78.567
p13,p64,74.536
p13,p65,70.273
p13,p66,67.586
p13,p67,66.667
p13,p68,67.586
p13,p69,70.273
p13,p70,74.536
p13,p71,80.123
p13,p72,86.781
p13,p73,84.620
p13,p74,80.890
p13,p75,78.567
p13,p76,77.778
p13,p77,78.567
p13,p78,80.890
p13,p79,84.620
p13,p80,89.581
p14,p15,11.111
p14,p16,22.222
p14,p17,33.333
p14,p18,44.444
p14,p19,45.812
p14,p20,35.136
p14,p21,24.845
p14,p22,15.713
p14,p23,11.111
p14,p24,15.713
p14,p25,24.845
p14,p26,35.136
p14,p27,45.812
p14,p28,49.690
p14,p29,40.062
p14,p30,31.427
p14,p31,24.845
p14,p32,22.222
p14,p33,24.845
p14,p34,31.427
p14,p35,40.062
p14,p36,49.690
p14,p37,55.556
p14,p38,47.140
p14,p39,40.062
p14,p40,35.136
p14,p41,33.333
p14,p42,35.136
p14,p43,40.062
p14,p44,47.140
p14,p45,55.556
p14,p46,62.854
p14,p47,55.556
p14,p48,49.690
p14,p49,45.812
p14,p50,44.444
p14,p51,45.812
p14,p52,49.690
p14,p53,55.556
p14,p54,62.854
p14,p55,71.146
p14,p56,64.788
p14,p57,59.835
p14,p58,56.656
p14,p59,55.556
p14,p60,56.656
p14,p61,59.835
p14,p62,64.788
p14,p63,71.146
p14,p64,80.123
p14,p65,74.536
p14,p66,70.273
p14,p67,67.586
p14,p68,66.667
p14,p69,67.586
p14,p70,70.273
p14,p71,74.536
p14,p72,80.123
p14,p73,89.581
p14,p74,84.620
p14,p75,80.890
p14,p76,78.567
p14,p77,77.778
p14,p78,78.567
p14,p79,80.890
p14,p80,84.620
p15,p16,11.111
p15,p17,22.222
p15,p18,33.333
p15,p19,56.656
p15,p20,45.812
p15,p21,35.136
p15,p22,24.845
p15,p23,15.713
p15,p24,11.111
p15,p25,15.713
p15,p26,24.845
p15,p27,35.136
p15,p28,59.835
p15,p29,49.690
p15,p30,40.062
p15,p31,31.427
p15,p32,24.845
p15,p33,22.222
p15,p34,24.845
p15,p35,31.427
p15,p36,40.062
p15,p37,64.788
p15,p38,55.556
p15,p39,47.140
p15,p40,40.062
p15,p41,35.136
p15,p42,33.333
p15,p43,35.136
p15,p44,40.062
p15,p45,47.140
p15,p46,71.146
p15,p47,62.854
p15,p48,55.556
p15,p49,49.690
p15,p50,45.812
p15,p51,44.444
p15,p52,45.812
p15,p53,49.690
p15,p54,55.556
p15,p55,78.567
p15,p56,71.146
p15,p57,64.788
p15,p58,59.835
p15,p59,56.656
p15,p60,55.556
p15,p61,56.656
p15,p62,59.835
p15,p63,64.788
p15,p64,86.781
p15,p65,80.123
p15,p66,74.536
p15,p67,70.273
p15,p68,67.586
p15,p69,66.667
p15,p70,67.586
p15,p71,70.273
p15,p72,74.536
p15,p73,95.581
p15,p74,89.581
p15,p75,84.620
p15,p76,80.890
p15,p77,78.567
p15,p78,77.778
p15,p79,78.567
p15,p80,80.890
p16,p17,11.111
p16,p18,22.222
p16,p19,67.586
p16,p20,56.656
p16,p21,45.812
p16,p22,35.136
p16,p23,24.845
p16,p24,15.713
p16,p25,11.111
p16,p26,15.713
p16,p27,24.845
p16,p28,70.273
p16,p29,59.835
p16,p30,49.690
p16,p31,40.062
p16,p32,31.427
p16,p33,24.845
p16,p34,22.222
p16,p35,24.845
p16,p36,31.427
p16,p37,74.536
p16,p38,64.788
p16,p39,55.556
p16,p40,47.140
p16,p41,40.062
p16,p42,35.136
p16,p43,33.333
p16,p44,35.136
p16,p45,40.062
p16,p46,80.123
p16,p47,71.146
p16,p48,62.854
p16,p49,55.556
p16,p50,49.690
p16,p51,45.812
p16,p52,44.444
p16,p53,45.812
p16,p54,49.690
p16,p55,86.781
p16,p56,78.567
p16,p57,71.146
p16,p58,64.788
p16,p59,59.835
p16,p60,56.656
p16,p61,55.556
p16,p62,56.656
p16,p63,59.835
p16,p64,94.281
p16,p65,86.781
p16,p66,80.123
p16,p67,74.536
p16,p68,70.273
p16,p69,67.586
p16,p70,66.667
p16,p71,67.586
p16,p72,70.273
p16,p73,102.439
p16,p74,95.581
p16,p75,89.581
p16,p76,84.620
p16,p77,80.890
p16,p78,78.567
p16,p79,77.778
p16,p80,78.567
p17,p18,11.111
p17,p19,78.567
p17,p20,67.586
p17,p21,56.656
p17,p22,45.812
p17,p23,35.136
p17,p24,24.845
p17,p25,15.713
p17,p26,11.111
p17,p27,15.713
p17,p28,80.890
p17,p29,70.273
p17,p30,59.835
p17,p31,49.690
p17,p32,40.062
p17,p33,31.427
p17,p34,24.845
p17,p35,22.222
p17,p36,24.845
p17,p37,84.620
p17,p38,74.536
p17,p39,64.788
p17,p40,55.556
p17,p41,47.140
p17,p42,40.062
p17,p43,35.136
p17,p44,33.333
p17,p45,35.136
p17,p46,89.581
p17,p47,80.123
p17,p48,71.146
p17,p49,62.854
p17,p50,55.556
p17,p51,49.690
p17,p52,45.812
p17,p53,44.444
p17,p54,45.812
p17,p55,95.581
p17,p56,86.781
p17,p57,78.567
p17,p58,71.146
p17,p59,64.788
p17,p60,59.835
p17,p61,56.656
p17,p62,55.556
p17,p63,56.656
p17,p64,102.439
p17,p65,94.281
p17,p66,86.781
p17,p67,80.123
p17,p68,74.536
p17,p69,70.273
p17,p70,67.586
p17,p71,66.667
p17,p72,67.586
p17,p73,109.994
p17,p74,102.439
p17,p75,95.581
p17,p76,89.581
p17,p77,84.620
p17,p78,80.890
p17,p79,78.567
p17,p80,77.778
p18,p19,89.581
p18,p20,78.567
p18,p21,67.586
p18,p22,56.656
p18,p23,45.812
p18,p24,35.136
p18,p25,24.845
p18,p26,15.713
p18,p27,11.111
p18,p28,91.625
p18,p29,80.890
p18,p30,70.273
p18,p31,59.835
p18,p32,49.690
p18,p33,40.062
p18,p34,31.427
p18,p35,24.845
p18,p36,22.222
p18,p37,94.933
p18,p38,84.620
p18,p39,74.536
p18,p40,64.788
p18,p41,55.556
p18,p42,47.140
p18,p43,40.062
p18,p44,35.136
p18,p45,33.333
p18,p46,99.381
p18,p47,89.581
p18,p48,80.123
p18,p49,71.146
p18,p50,62.854
p18,p51,55.556
p18,p52,49.690
p18,p53,45.812
p18,p54,44.444
p18,p55,104.822
p18,p56,95.581
p18,p57,86.781
p18,p58,78.567
p18,p59,71.146
p18,p60,64.788
p18,p61,59.835
p18,p62,56.656
p18,p63,55.556
p18,p64,111.111
p18,p65,102.439
p18,p66,94.281
p18,p67,86.781
p18,p68,80.123
p18,p69,74.536
p18,p70,70.273
p18,p71,67.586
p18,p72,66.667
p18,p73,118.113
p18,p74,109.994
p18,p75,102.439
p18,p76,95.581
p18,p77,89.581
p18,p78,84.620
p18,p79,80.890
p18,p80,78.567
p19,p20,11.111
p19,p21,22.222
p19,p22,33.333
p19,p23,44.444
p19,p24,55.556
p19,p25,66.667
p19,p26,77.778
p19,p27,88.889
p19,p28,11.111
p19,p29,15.713
p19,p30,24.845
p19,p31,35.136
p19,p32,45.812
p19,p33,56.656
p19,p34,67.586
p19,p35,78.567
p19,p36,89.581
p19,p37,22.222
p19,p38,24.845
p19,p39,31.427
p19,p40,40.062
p19,p41,49.690
p19,p42,59.835
p19,p43,70.273
p19,p44,80.890
p19,p45,91.625
p19,p46,33.333
p19,p47,35.136
p19,p48,40.062
p19,p49,47.140
p19,p50,55.556
p19,p51,64.788
p19,p52,74.536
p19,p53,84.620
p19,p54,94.933
p19,p55,44.444
p19,p56,45.812
p19,p57,49.690
p19,p58,55.556
p19,p59,62.854
p19,p60,71.146
p19,p61,80.123
p19,p62,89.581
p19,p63,99.381
p19,p64,55.556
p19,p65,56.656
p19,p66,59.835
p19,p67,64.788
p19,p68,71.146
p19,p69,78.567
p19,p70,86.781
p19,p71,95.581
p19,p72,104.822
p19,p73,66.667
p19,p74,67.586
p19,p75,70.273
p19,p76,74.536
p19,p77,80.123
p19,p78,86.781
p19,p79,94.281
p19,p80,102.439
p20,p21,11.111
p20,p22,22.222
p20,p23,33.333
p20,p24,44.444
p20,p25,55.556
p20,p26,66.667
p20,p27,77.778
p20,p28,15.713
p20,p29,11.111
p20,p30,15.713
p20,p31,24.845
p20,p32,35.136
p20,p33,45.812
p20,p34,56.656
p20,p35,67.586
p20,p36,78.567
p20,p37,24.845
p20,p38,22.222
p20,p39,24.845
p20,p40,31.427
p20,p41,40.062
p20,p42,49.690
p20,p43,59.835
p20,p44,70.273
p20,p45,80.890
p20,p46,35.136
p20,p47,33.333
p20,p48,35.136
p20,p49,40.062
p20,p50,47.140
p20,p51,55.556
p20,p52,64.788
p20,p53,74.536
p20,p54,84.620
p20,p55,45.812
p20,p56,44.444
p20,p57,45.812
p20,p58,49.690
p20,p59,55.556
p20,p60,62.854
p20,p61,71.146
p20,p62,80.123
p20,p63,89.581
p20,p64,56.656
p20,p65,55.556
p20,p66,56.656
p20,p67,59.835
p20,p68,64.788
p20,p69,71.146
p20,p70,78.567
p20,p71,86.781
p20,p72,95.581
p20,p73,67.586
p20,p74,66.667
p20,p75,67.586
p20,p76,70.273
p20,p77,74.536
p20,p78,80.123
p20,p79,86.781
p20,p80,94.281
p21,p22,11.111
p21,p23,22.222
p21,p24,33.333
p21,p25,44.444
p21,p26,55.556
p21,p27,66.667
p21,p28,24.845
