from_patch,to_patch,length_km
p4,p55,73.293
p4,p56,53.009
p4,p57,48.956
p4,p58,46.355
p4,p59,45.455
p4,p60,46.355
p4,p61,48.956
p4,p62,53.009
p4,p63,58.210
p4,p64,64.282
p4,p65,71.002
p4,p66,78.203
p4,p67,60.984
p4,p68,57.496
p4,p69,55.298
p4,p70,54.545
p4,p71,55.298
p4,p72,57.496
p4,p73,60.984
p4,p74,65.555
p4,p75,71.002
p4,p76,77.139
p4,p77,83.814
p4,p78,69.234
p4,p79,66.183
p4,p80,64.282
p4,p81,63.636
p4,p82,64.282
p4,p83,66.183
p4,p84,69.234
p4,p85,73.293
p4,p86,78.203
p4,p87,83.814
p4,p88,89.995
p4,p89,77.673
p4,p90,74.966
p4,p91,73.293
p4,p92,72.727
p4,p93,73.293
p4,p94,74.966
p4,p95,77.673
p4,p96,81.312
p4,p97,85.763
p4,p98,90.909
p4,p99,96.638
p4,p100,86.244
p4,p101,83.814
p4,p102,82.322
p4,p103,81.818
p4,p104,82.322
p4,p105,83.814
p4,p106,86.244
p4,p107,89.535
p4,p108,93.597
p4,p109,98.333
p4,p110,103.652
p4,p111,94.912
p4,p112,92.709
p4,p113,91.363
p4,p114,90.909
p4,p115,91.363
p4,p116,92.709
p4,p117,94.912
p4,p118,97.912
p4,p119,101.639
p4,p120,106.017
p5,p6,9.091
p5,p7,18.182
p5,p8,27.273
p5,p9,36.364
p5,p10,45.455
p5,p11,54.545
p5,p12,37.483
p5,p13,28.748
p5,p14,20.328
p5,p15,12.856
p5,p16,9.091
p5,p17,12.856
p5,p18,20.328
p5,p19,28.748
p5,p20,37.483
p5,p21,46.355
p5,p22,55.298
p5,p23,40.656
p5,p24,32.778
p5,p25,25.713
p5,p26,20.328
p5,p27,18.182
p5,p28,20.328
p5,p29,25.713
p5,p30,32.778
p5,p31,40.656
p5,p32,48.956
p5,p33,57.496
p5,p34,45.455
p5,p35,38.569
p5,p36,32.778
p5,p37,28.748
p5,p38,27.273
p5,p39,28.748
p5,p40,32.778
p5,p41,38.569
p5,p42,45.455
p5,p43,53.009
p5,p44,60.984
p5,p45,51.426
p5,p46,45.455
p5,p47,40.656
p5,p48,37.483
p5,p49,36.364
p5,p50,37.483
p5,p51,40.656
p5,p52,45.455
p5,p53,51.426
p5,p54,58.210
p5,p55,65.555
p5,p56,58.210
p5,p57,53.009
p5,p58,48.956
p5,p59,46.355
p5,p60,45.455
p5,p61,46.355
p5,p62,48.956
p5,p63,53.009
p5,p64,58.210
p5,p65,64.282
p5,p66,71.002
p5,p67,65.555
p5,p68,60.984
p5,p69,57.496
p5,p70,55.298
p5,p71,54.545
p5,p72,55.298
p5,p73,57.496
p5,p74,60.984
p5,p75,65.555
p5,p76,71.002
p5,p77,77.139
p5,p78,73.293
p5,p79,69.234
p5,p80,66.183
p5,p81,64.282
p5,p82,63.636
p5,p83,64.282
p5,p84,66.183
p5,p85,69.234
p5,p86,73.293
p5,p87,78.203
p5,p88,83.814
p5,p89,81.312
p5,p90,77.673
p5,p91,74.966
p5,p92,73.293
p5,p93,72.727
p5,p94,73.293
p5,p95,74.966
p5,p96,77.673
p5,p97,81.312
p5,p98,85.763
p5,p99,90.909
p5,p100,89.535
p5,p101,86.244
p5,p102,83.814
p5,p103,82.322
p5,p104,81.818
p5,p105,82.322
p5,p106,83.814
p5,p107,86.244
p5,p108,89.535
p5,p109,93.597
p5,p110,98.333
p5,p111,97.912
p5,p112,94.912
p5,p113,92.709
p5,p114,91.363
p5,p115,90.909
p5,p116,91.363
p5,p117,92.709
p5,p118,94.912
p5,p119,97.912
p5,p120,101.639
p6,p7,9.091
p6,p8,18.182
p6,p9,27.273
p6,p10,36.364
p6,p11,45.455
p6,p12,46.355
p6,p13,37.483
p6,p14,28.748
p6,p15,20.328
p6,p16,12.856
p6,p17,9.091
p6,p18,12.856
p6,p19,20.328
p6,p20,28.748
p6,p21,37.483
p6,p22,46.355
p6,p23,48.956
p6,p24,40.656
p6,p25,32.778
p6,p26,25.713
p6,p27,20.328
p6,p28,18.182
p6,p29,20.328
p6,p30,25.713
p6,p31,32.778
p6,p32,40.656
p6,p33,48.956
p6,p34,53.009
p6,p35,45.455
p6,p36,38.569
p6,p37,32.778
p6,p38,28.748
p6,p39,27.273
p6,p40,28.748
p6,p41,32.778
p6,p42,38.569
p6,p43,45.455
p6,p44,53.009
p6,p45,58.210
p6,p46,51.426
p6,p47,45.455
p6,p48,40.656
p6,p49,37.483
p6,p50,36.364
p6,p51,37.483
p6,p52,40.656
p6,p53,45.455
p6,p54,51.426
p6,p55,58.210
p6,p56,64.282
p6,p57,58.210
p6,p58,53.009
p6,p59,48.956
p6,p60,46.355
p6,p61,45.455
p6,p62,46.355
p6,p63,48.956
p6,p64,53.009
p6,p65,58.210
p6,p66,64.282
p6,p67,71.002
p6,p68,65.555
p6,p69,60.984
p6,p70,57.496
p6,p71,55.298
p6,p72,54.545
p6,p73,55.298
p6,p74,57.496
p6,p75,60.984
p6,p76,65.555
p6,p77,71.002
p6,p78,78.203
p6,p79,73.293
p6,p80,69.234
p6,p81,66.183
p6,p82,64.282
p6,p83,63.636
p6,p84,64.282
p6,p85,66.183
p6,p86,69.234
p6,p87,73.293
p6,p88,78.203
p6,p89,85.763
p6,p90,81.312
p6,p91,77.673
p6,p92,74.966
p6,p93,73.293
p6,p94,72.727
p6,p95,73.293
p6,p96,74.966
p6,p97,77.673
p6,p98,81.312
p6,p99,85.763
p6,p100,93.597
p6,p101,89.535
p6,p102,86.244
p6,p103,83.814
p6,p104,82.322
p6,p105,81.818
p6,p106,82.322
p6,p107,83.814
p6,p108,86.244
p6,p109,89.535
p6,p110,93.597
p6,p111,101.639
p6,p112,97.912
p6,p113,94.912
p6,p114,92.709
p6,p115,91.363
p6,p116,90.909
p6,p117,91.363
p6,p118,92.709
p6,p119,94.912
p6,p120,97.912
p7,p8,9.091
p7,p9,18.182
p7,p10,27.273
p7,p11,36.364
p7,p12,55.298
p7,p13,46.355
p7,p14,37.483
p7,p15,28.748
p7,p16,20.328
p7,p17,12.856
p7,p18,9.091
p7,p19,12.856
p7,p20,20.328
p7,p21,28.748
p7,p22,37.483
p7,p23,57.496
p7,p24,48.956
p7,p25,40.656
p7,p26,32.778
p7,p27,25.713
p7,p28,20.328
p7,p29,18.182
p7,p30,20.328
p7,p31,25.713
p7,p32,32.778
p7,p33,40.656
p7,p34,60.984
p7,p35,53.009
p7,p36,45.455
p7,p37,38.569
p7,p38,32.778
p7,p39,28.748
p7,p40,27.273
p7,p41,28.748
p7,p42,32.778
p7,p43,38.569
p7,p44,45.455
p7,p45,65.555
p7,p46,58.210
p7,p47,51.426
p7,p48,45.455
p7,p49,40.656
p7,p50,37.483
p7,p51,36.364
p7,p52,37.483
p7,p53,40.656
p7,p54,45.455
p7,p55,51.426
p7,p56,71.002
p7,p57,64.282
p7,p58,58.210
p7,p59,53.009
p7,p60,48.956
p7,p61,46.355
p7,p62,45.455
p7,p63,46.355
p7,p64,48.956
p7,p65,53.009
p7,p66,58.210
p7,p67,77.139
p7,p68,71.002
p7,p69,65.555
p7,p70,60.984
p7,p71,57.496
p7,p72,55.298
p7,p73,54.545
p7,p74,55.298
p7,p75,57.496
p7,p76,60.984
p7,p77,65.555
p7,p78,83.814
p7,p79,78.203
p7,p80,73.293
p7,p81,69.234
p7,p82,66.183
p7,p83,64.282
p7,p84,63.636
p7,p85,64.282
p7,p86,66.183
p7,p87,69.234
p7,p88,73.293
p7,p89,90.909
p7,p90,85.763
p7,p91,81.312
p7,p92,77.673
p7,p93,74.966
p7,p94,73.293
p7,p95,72.727
p7,p96,73.293
p7,p97,74.966
p7,p98,77.673
p7,p99,81.312
p7,p100,98.333
p7,p101,93.597
p7,p102,89.535
p7,p103,86.244
p7,p104,83.814
p7,p105,82.322
p7,p106,81.818
p7,p107,82.322
p7,p108,83.814
p7,p109,86.244
p7,p110,89.535
p7,p111,106.017
p7,p112,101.639
p7,p113,97.912
p7,p114,94.912
p7,p115,92.709
p7,p116,91.363
p7,p117,90.909
p7,p118,91.363
p7,p119,92.709
p7,p120,94.912
p8,p9,9.091
p8,p10,18.182
p8,p11,27.273
p8,p12,64.282
p8,p13,55.298
p8,p14,46.355
p8,p15,37.483
p8,p16,28.748
p8,p17,20.328
p8,p18,12.856
p8,p19,9.091
p8,p20,12.856
p8,p21,20.328
p8,p22,28.748
p8,p23,66.183
p8,p24,57.496
p8,p25,48.956
p8,p26,40.656
p8,p27,32.778
p8,p28,25.713
p8,p29,20.328
p8,p30,18.182
p8,p31,20.328
p8,p32,25.713
p8,p33,32.778
p8,p34,69.234
p8,p35,60.984
p8,p36,53.009
p8,p37,45.455
p8,p38,38.569
p8,p39,32.778
p8,p40,28.748
p8,p41,27.273
p8,p42,28.748
p8,p43,32.778
p8,p44,38.569
p8,p45,73.293
p8,p46,65.555
p8,p47,58.210
p8,p48,51.426
p8,p49,45.455
p8,p50,40.656
p8,p51,37.483
p8,p52,36.364
p8,p53,37.483
p8,p54,40.656
p8,p55,45.455
p8,p56,78.203
p8,p57,71.002
p8,p58,64.282
p8,p59,58.210
p8,p60,53.009
p8,p61,48.956
p8,p62,46.355
p8,p63,45.455
p8,p64,46.355
p8,p65,48.956
p8,p66,53.009
p8,p67,83.814
p8,p68,77.139
p8,p69,71.002
p8,p70,65.555
p8,p71,60.984
p8,p72,57.496
p8,p73,55.298
p8,p74,54.545
p8,p75,55.298
p8,p76,57.496
p8,p77,60.984
p8,p78,89.995
p8,p79,83.814
p8,p80,78.203
p8,p81,73.293
p8,p82,69.234
p8,p83,66.183
p8,p84,64.282
p8,p85,63.636
p8,p86,64.282
p8,p87,66.183
p8,p88,69.234
p8,p89,96.638
p8,p90,90.909
p8,p91,85.763
p8,p92,81.312
p8,p93,77.673
p8,p94,74.966
p8,p95,73.293
p8,p96,72.727
p8,p97,73.293
p8,p98,74.966
p8,p99,77.673
p8,p100,103.652
p8,p101,98.333
p8,p102,93.597
p8,p103,89.535
p8,p104,86.244
p8,p105,83.814
p8,p106,82.322
p8,p107,81.818
p8,p108,82.322
p8,p109,83.814
p8,p110,86.244
p8,p111,110.969
p8,p112,106.017
p8,p113,101.639
p8,p114,97.912
p8,p115,94.912
p8,p116,92.709
p8,p117,91.363
p8,p118,90.909
p8,p119,91.363
p8,p120,92.709
p9,p10,9.091
p9,p11,18.182
p9,p12,73.293
p9,p13,64.282
p9,p14,55.298
p9,p15,46.355
p9,p16,37.483
p9,p17,28.748
p9,p18,20.328
p9,p19,12.856
p9,p20,9.091
p9,p21,12.856
p9,p22,20.328
p9,p23,74.966
p9,p24,66.183
p9,p25,57.496
p9,p26,48.956
p9,p27,40.656
p9,p28,32.778
p9,p29,25.713
p9,p30,20.328
p9,p31,18.182
p9,p32,20.328
p9,p33,25.713
p9,p34,77.673
p9,p35,69.234
p9,p36,60.984
p9,p37,53.009
p9,p38,45.455
p9,p39,38.569
p9,p40,32.778
p9,p41,28.748
p9,p42,27.273
p9,p43,28.748
p9,p44,32.778
p9,p45,81.312
p9,p46,73.293
p9,p47,65.555
p9,p48,58.210
p9,p49,51.426
p9,p50,45.455
p9,p51,40.656
p9,p52,37.483
p9,p53,36.364
p9,p54,37.483
p9,p55,40.656
p9,p56,85.763
p9,p57,78.203
p9,p58,71.002
p9,p59,64.282
p9,p60,58.210
p9,p61,53.009
p9,p62,48.956
p9,p63,46.355
p9,p64,45.455
p9,p65,46.355
p9,p66,48.956
p9,p67,90.909
p9,p68,83.814
p9,p69,77.139
p9,p70,71.002
p9,p71,65.555
p9,p72,60.984
p9,p73,57.496
p9,p74,55.298
p9,p75,54.545
p9,p76,55.298
p9,p77,57.496
p9,p78,96.638
p9,p79,89.995
p9,p80,83.814
p9,p81,78.203
p9,p82,73.293
p9,p83,69.234
p9,p84,66.183
p9,p85,64.282
p9,p86,63.636
p9,p87,64.282
p9,p88,66.183
p9,p89,102.852
p9,p90,96.638
p9,p91,90.909
p9,p92,85.763
p9,p93,81.312
p9,p94,77.673
p9,p95,74.966
p9,p96,73.293
p9,p97,72.727
p9,p98,73.293
p9,p99,74.966
p9,p100,109.469
p9,p101,103.652
p9,p102,98.333
p9,p103,93.597
p9,p104,89.535
p9,p105,86.244
p9,p106,83.814
p9,p107,82.322
p9,p108,81.818
p9,p109,82.322
p9,p110,83.814
p9,p111,116.420
p9,p112,110.969
p9,p113,106.017
p9,p114,101.639
p9,p115,97.912
p9,p116,94.912
p9,p117,92.709
p9,p118,91.363
p9,p119,90.909
p9,p120,91.363
p10,p11,9.091
p10,p12,82.322
p10,p13,73.293
p10,p14,64.282
p10,p15,55.298
p10,p16,46.355
p10,p17,37.483
p10,p18,28.748
p10,p19,20.328
p10,p20,12.856
p10,p21,9.091
p10,p22,12.856
p10,p23,83.814
p10,p24,74.966
p10,p25,66.183
p10,p26,57.496
p10,p27,48.956
p10,p28,40.656
p10,p29,32.778
p10,p30,25.713
p10,p31,20.328
p10,p32,18.182
p10,p33,20.328
p10,p34,86.244
p10,p35,77.673
p10,p36,69.234
p10,p37,60.984
p10,p38,53.009
p10,p39,45.455
p10,p40,38.569
p10,p41,32.778
p10,p42,28.748
p10,p43,27.273
p10,p44,28.748
p10,p45,89.535
p10,p46,81.312
p10,p47,73.293
p10,p48,65.555
p10,p49,58.210
p10,p50,51.426
p10,p51,45.455
p10,p52,40.656
p10,p53,37.483
p10,p54,36.364
p10,p55,37.483
p10,p56,93.597
p10,p57,85.763
p10,p58,78.203
p10,p59,71.002
p10,p60,64.282
p10,p61,58.210
p10,p62,53.009
p10,p63,48.956
p10,p64,46.355
p10,p65,45.455
p10,p66,46.355
p10,p67,98.333
p10,p68,90.909
p10,p69,83.814
p10,p70,77.139
p10,p71,71.002
p10,p72,65.555
p10,p73,60.984
p10,p74,57.496
p10,p75,55.298
p10,p76,54.545
p10,p77,55.298
p10,p78,103.652
p10,p79,96.638
p10,p80,89.995
p10,p81,83.814
p10,p82,78.203
p10,p83,73.293
p10,p84,69.234
p10,p85,66.183
p10,p86,64.282
p10,p87,63.636
p10,p88,64.282
p10,p89,109.469
p10,p90,102.852
p10,p91,96.638
p10,p92,90.909
p10,p93,85.763
p10,p94,81.312
p10,p95,77.673
p10,p96,74.966
p10,p97,73.293
p10,p98,72.727
p10,p99,73.293
p10,p100,115.708
p10,p101,109.469
p10,p102,103.652
p10,p103,98.333
p10,p104,93.597
p10,p105,89.535
p10,p106,86.244
p10,p107,83.814
p10,p108,82.322
p10,p109,81.818
p10,p110,82.322
p10,p111,122.306
p10,p112,116.420
p10,p113,110.969
p10,p114,106.017
p10,p115,101.639
p10,p116,97.912
p10,p117,94.912
p10,p118,92.709
p10,p119,91.363
p10,p120,90.909
p11,p12,91.363
p11,p13,82.322
p11,p14,73.293
p11,p15,64.282
p11,p16,55.298
p11,p17,46.355
p11,p18,37.483
p11,p19,28.748
p11,p20,20.328
p11,p21,12.856
p11,p22,9.091
p11,p23,92.709
p11,p24,83.814
p11,p25,74.966
p11,p26,66.183
p11,p27,57.496
p11,p28,48.956
p11,p29,40.656
p11,p30,32.778
p11,p31,25.713
p11,p32,20.328
p11,p33,18.182
p11,p34,94.912
p11,p35,86.244
p11,p36,77.673
p11,p37,69.234
p11,p38,60.984
p11,p39,53.009
p11,p40,45.455
p11,p41,38.569
p11,p42,32.778
p11,p43,28.748
p11,p44,27.273
p11,p45,97.912
p11,p46,89.535
p11,p47,81.312
p11,p48,73.293
p11,p49,65.555
p11,p50,58.210
p11,p51,51.426
p11,p52,45.455
p11,p53,40.656
p11,p54,37.483
p11,p55,36.364
p11,p56,101.639
p11,p57,93.597
p11,p58,85.763
p11,p59,78.203
p11,p60,71.002
p11,p61,64.282
p11,p62,58.210
p11,p63,53.009
p11,p64,48.956
p11,p65,46.355
p11,p66,45.455
p11,p67,106.017
p11,p68,98.333
p11,p69,90.909
p11,p70,83.814
p11,p71,77.139
p11,p72,71.002
p11,p73,65.555
p11,p74,60.984
p11,p75,57.496
p11,p76,55.298
p11,p77,54.545
p11,p78,110.969
p11,p79,103.652
p11,p80,96.638
p11,p81,89.995
p11,p82,83.814
p11,p83,78.203
p11,p84,73.293
p11,p85,69.234
p11,p86,66.183
p11,p87,64.282
p11,p88,63.636
p11,p89,116.420
p11,p90,109.469
p11,p91,102.852
p11,p92,96.638
p11,p93,90.909
p11,p94,85.763
p11,p95,81.312
p11,p96,77.673
p11,p97,74.966
p11,p98,73.293
p11,p99,72.727
p11,p100,122.306
p11,p101,115.708
p11,p102,109.469
p11,p103,103.652
p11,p104,98.333
p11,p105,93.597
p11,p106,89.535
p11,p107,86.244
p11,p108,83.814
p11,p109,82.322
p11,p110,81.818
p11,p111,128.565
p11,p112,122.306
p11,p113,116.420
p11,p114,110.969
p11,p115,106.017
p11,p116,101.639
p11,p117,97.912
p11,p118,94.912
p11,p119,92.709
p11,p120,91.363
p12,p13,9.091
p12,p14,18.182
p12,p15,27.273
p12,p16,36.364
p12,p17,45.455
p12,p18,54.545
p12,p19,63.636
p12,p20,72.727
p12,p21,81.818
p12,p22,90.909
p12,p23,9.091
p12,p24,12.856
p12,p25,20.328
p12,p26,28.748
p12,p27,37.483
p12,p28,46.355
p12,p29,55.298
p12,p30,64.282
p12,p31,73.293
p12,p32,82.322
p12,p33,91.363
p12,p34,18.182
p12,p35,20.328
p12,p36,25.713
p12,p37,32.778
p12,p38,40.656
p12,p39,48.956
p12,p40,57.496
p12,p41,66.183
p12,p42,74.966
p12,p43,83.814
p12,p44,92.709
p12,p45,27.273
p12,p46,28.748
p12,p47,32.778
p12,p48,38.569
p12,p49,45.455
p12,p50,53.009
p12,p51,60.984
p12,p52,69.234
p12,p53,77.673
p12,p54,86.244
p12,p55,94.912
p12,p56,36.364
p12,p57,37.483
p12,p58,40.656
p12,p59,45.455
p12,p60,51.426
p12,p61,58.210
p12,p62,65.555
p12,p63,73.293
p12,p64,81.312
p12,p65,89.535
p12,p66,97.912
p12,p67,45.455
p12,p68,46.355
p12,p69,48.956
p12,p70,53.009
p12,p71,58.210
p12,p72,64.282
p12,p73,71.002
p12,p74,78.203
p12,p75,85.763
p12,p76,93.597
p12,p77,101.639
p12,p78,54.545
p12,p79,55.298
p12,p80,57.496
p12,p81,60.984
p12,p82,65.555
p12,p83,71.002
p12,p84,77.139
p12,p85,83.814
p12,p86,90.909
p12,p87,98.333
p12,p88,106.017
p12,p89,63.636
p12,p90,64.282
p12,p91,66.183
p12,p92,69.234
p12,p93,73.293
p12,p94,78.203
p12,p95,83.814
p12,p96,89.995
p12,p97,96.638
p12,p98,103.652
p12,p99,110.969
p12,p100,72.727
p12,p101,73.293
p12,p102,74.966
p12,p103,77.673
p12,p104,81.312
p12,p105,85.763
p12,p106,90.909
p12,p107,96.638
p12,p108,102.852
p12,p109,109.469
p12,p110,116.420
p12,p111,81.818
p12,p112,82.322
p12,p113,83.814
p12,p114,86.244
p12,p115,89.535
p12,p116,93.597
p12,p117,98.333
p12,p118,103.652
p12,p119,109.469
p12,p120,115.708
p13,p14,9.091
p13,p15,18.182
p13,p16,27.273
p13,p17,36.364
p13,p18,45.455
p13,p19,54.545
p13,p20,63.636
p13,p21,72.727
p13,p22,81.818
p13,p23,12.856
p13,p24,9.091
p13,p25,12.856
p13,p26,20.328
p13,p27,28.748
p13,p28,37.483
p13,p29,46.355
p13,p30,55.298
p13,p31,64.282
p13,p32,73.293
p13,p33,82.322
p13,p34,20.328
p13,p35,18.182
p13,p36,20.328
p13,p37,25.713
p13,p38,32.778
p13,p39,40.656
p13,p40,48.956
p13,p41,57.496
p13,p42,66.183
p13,p43,74.966
p13,p44,83.814
p13,p45,28.748
p13,p46,27.273
p13,p47,28.748
p13,p48,32.778
